frame,pan,tilt
1111,79.48,7.53
1112,79.33,7.43
1113,79.33,7.43
1114,79.22,7.37
1115,79.17,7.33
1116,79.17,7.33
1117,79.12,7.3
1118,79.06,7.27
1119,79.06,7.27
1120,78.96,7.2
1121,78.85,7.14
1122,78.8,7.11
1123,78.8,7.11
1124,78.8,7.11
1125,78.8,7.11
1126,78.75,7.07
1127,78.65,7.01
1128,78.65,7.01
1129,78.65,7.01
1130,78.49,6.91
1131,78.43,6.87
1132,78.43,6.87
1133,78.27,6.78
1134,78.22,6.74
1135,78.12,6.67
1136,78.07,6.64
1137,78.02,6.61
1138,78.02,6.61
1139,77.96,6.57
1140,77.91,6.54
1141,77.8,6.48
1142,77.8,6.48
1143,77.75,6.44
1144,77.7,6.41
1145,77.65,6.38
1146,77.59,6.34
1147,77.59,6.34
1148,77.49,6.28
1149,77.44,6.24
1150,77.44,6.24
1151,77.33,6.18
1152,77.28,6.14
1153,77.28,6.14
1154,77.12,6.05
1155,77.06,6.01
1156,77.01,5.98
1157,77.01,5.98
1158,76.96,5.95
1159,76.91,5.91
1160,76.85,5.88
1161,76.8,5.85
1162,76.8,5.85
1163,76.69,5.78
1164,76.64,5.75
1165,76.54,5.68
1166,76.54,5.68
1167,76.49,5.65
1168,76.49,5.65
1169,76.44,5.62
1170,76.33,5.55
1171,76.33,5.55
1172,76.28,5.52
1173,76.28,5.52
1174,76.28,5.52
1175,76.17,5.45
1176,76.07,5.39
1177,75.96,5.32
1178,75.91,5.29
1179,75.91,5.29
1180,75.8,5.23
1181,75.8,5.23
1182,75.75,5.19
1183,75.64,5.13
1184,75.64,5.13
1185,75.59,5.09
1186,75.49,5.03
1187,75.38,4.96
1188,75.33,4.93
1189,75.28,4.9
1190,75.28,4.9
1191,75.17,4.83
1192,75.17,4.83
1193,75.07,4.77
1194,75.02,4.74
1195,75.02,4.74
1196,75.02,4.74
1197,74.97,4.7
1198,74.97,4.7
1199,74.97,4.7
1200,74.95,4.69
1201,74.95,4.69
1202,74.95,4.69
1203,74.95,4.69
1204,74.95,4.69
1205,74.95,4.69
1206,74.95,4.69
1207,74.95,4.69
1208,74.95,4.69
1209,74.95,4.69
1210,74.95,4.69
1211,74.95,4.69
1212,74.95,4.69
1213,74.95,4.69
1214,74.95,4.69
1215,74.95,4.69
1216,74.95,4.69
1217,74.95,4.69
1218,74.95,4.69
1219,74.95,4.69
1220,74.95,4.69
1221,74.95,4.69
1222,74.95,4.69
1223,74.95,4.69
1224,74.95,4.69
1225,74.95,4.69
1226,74.95,4.69
1227,74.95,4.69
1228,74.95,4.69
1229,74.95,4.69
1230,74.95,4.69
1231,74.95,4.69
1232,74.95,4.69
1233,74.95,4.69
1234,74.95,4.69
1235,74.95,4.69
1236,74.95,4.69
1237,74.95,4.69
1238,74.95,4.69
1239,74.95,4.69
1240,74.95,4.69
1241,74.95,4.69
1242,74.95,4.69
1243,74.95,4.69
1244,74.95,4.69
1245,74.95,4.69
1246,74.95,4.69
1247,74.95,4.69
1248,74.95,4.69
1249,74.95,4.69
1250,74.95,4.69
1251,74.95,4.69
1252,74.95,4.69
1253,74.95,4.69
1254,74.96,4.72
1255,74.96,4.72
1256,74.96,4.72
1257,75.08,4.82
1258,75.33,5.03
1259,75.7,5.35
1260,75.7,5.35
1261,75.82,5.46
1262,76.06,5.67
1263,76.06,5.67
1264,76.06,5.67
1265,76.19,5.78
1266,76.42,5.97
1267,76.64,6.16
1268,76.71,6.21
1269,76.71,6.21
1270,76.71,6.21
1271,76.79,6.28
1272,76.88,6.34
1273,76.97,6.41
1274,76.97,6.41
1275,77.05,6.48
1276,77.05,6.48
1277,77.05,6.48
1278,77.05,6.48
1279,77.28,6.63
1280,77.41,6.72
1281,77.55,6.8
1282,77.62,6.84
1283,77.68,6.89
1284,77.75,6.93
1285,77.82,6.97
1286,77.88,7
1287,77.93,7.02
1288,77.98,7.05
1289,78.03,7.07
1290,78.07,7.09
1291,78.07,7.09
1292,78.12,7.11
1293,78.12,7.11
1294,78.16,7.12
1295,78.24,7.16
1296,78.28,7.17
1297,78.36,7.2
1298,78.4,7.21
1299,78.4,7.21
1300,78.44,7.23
1301,78.47,7.24
1302,78.47,7.24
1303,78.51,7.25
1304,78.54,7.25
1305,78.54,7.25
1306,78.62,7.27
1307,78.62,7.27
1308,78.64,7.27
1309,78.66,7.28
1310,78.66,7.28
1311,78.72,7.28
1312,78.72,7.28
1313,78.74,7.29
1314,78.76,7.29
1315,78.79,7.29
1316,78.79,7.29
1317,78.79,7.29
1318,78.81,7.29
1319,78.81,7.29
1320,78.83,7.29
1321,78.83,7.29
1322,78.85,7.29
1323,78.87,7.29
1324,78.89,7.28
1325,78.89,7.28
1326,78.91,7.28
1327,78.91,7.28
1328,78.91,7.28
1329,78.91,7.28
1330,78.92,7.28
1331,78.92,7.28
1332,78.93,7.27
1333,78.93,7.27
1334,78.93,7.27
1335,78.93,7.27
1336,78.94,7.27
1337,78.94,7.27
1338,78.96,7.26
1339,78.97,7.26
1340,78.97,7.26
1341,78.97,7.26
1342,78.97,7.25
1343,78.97,7.25
1344,78.97,7.25
1345,78.97,7.25
1346,78.98,7.25
1347,78.98,7.25
1348,78.98,7.25
1349,78.99,7.24
